Area,Bedrooms,Bathrooms,Floors,YearBuilt,DistanceToCity,LocationScore,Price
1985,1,2,1,2013,18.91021165811661,2,618551
4343,1,4,1,2021,19.012059508027715,7,1320722
3473,4,2,3,2004,8.325246668077266,10,1995158
1421,2,1,1,1965,20.64995255061667,2,386910
3861,2,1,2,1958,14.358770045652026,1,793909
3013,5,3,3,1953,16.053776542364893,6,1336268
4243,4,1,3,1988,10.31200571660784,1,1080542
1900,1,3,1,1993,29.536033483899402,4,619647
561,4,4,3,1990,22.252923195993393,4,701308
4697,2,2,3,1962,7.828682035762823,6,1329368
2381,2,3,3,2022,7.478616747911253,5,1402801
1395,3,2,2,1961,23.338118057966575,4,554904
3742,3,3,2,1973,11.946322155617954,6,1325405
4951,5,4,2,1997,3.1996026795028993,10,2055203
4198,4,4,2,1981,1.5501974330449033,5,1643743
1675,3,3,1,1987,12.711702491055254,7,1226703
1416,3,3,3,2015,12.733887326452134,5,994762
737,4,4,2,2003,21.352272712617292,9,1291378
1278,2,2,1,1970,17.45576382883139,3,626692
1476,5,4,2,1980,23.2185439667876,2,655934
4393,5,2,1,2013,9.873691063715949,1,1380923
779,5,3,2,2001,18.915418438464396,5,919761
892,3,2,2,1984,26.62823223429722,8,981393
2462,2,3,3,1965,2.5439680858752647,9,1484396
4284,5,2,2,1989,21.39931432092163,3,1284540
464,4,3,2,1987,21.61854883144838,7,933423
2968,5,1,1,2006,23.923893560719712,4,860043
2427,1,1,3,1952,8.436895933599295,7,1063066
3095,2,4,3,1986,12.787366176539539,5,1260362
1895,1,4,1,1951,7.571396187700359,6,1063032
791,2,3,2,1952,9.603165758619564,8,988055
4914,4,2,1,1996,29.07100052827425,10,1823636
4874,3,3,2,1976,13.646793225233514,10,1719097
3961,3,1,2,2012,25.5322971965451,9,1352249
2678,2,1,3,1987,23.948955692512943,8,1189589
3499,5,3,2,1993,13.613517890229648,6,1549676
600,1,1,3,1957,29.76928435955563,5,234601
3504,4,4,3,1972,25.303025308961665,4,1036456
4998,5,3,1,1955,14.739504266860973,2,1465399
2854,3,4,2,1974,9.636317592859832,8,1650302
4045,5,4,1,2008,2.721189264248106,3,1732580
1204,1,4,1,2006,14.211597199098408,6,941962
3131,3,1,1,2007,11.12029215115052,1,934441
3173,2,2,1,1965,21.485618055625146,5,805227
1970,4,2,3,1975,1.0805117460672873,3,943386
3090,4,2,3,1996,25.027706194913648,1,819950
4240,3,4,3,1989,12.790530064846882,7,1546245
1428,2,3,3,1968,14.35711116998255,8,1073285
902,1,4,2,1993,5.89231024830309,10,1397801
4893,4,4,3,1975,28.15572200235383,9,1774239
1270,3,3,2,2001,12.25242235829754,4,863343
4888,4,2,1,1986,25.36038153125486,2,1169889
606,2,2,2,1996,7.504876991183531,8,1127464
1884,1,2,3,2021,3.3513813964799186,9,1381086
1263,2,4,3,1963,19.25494861143888,4,659746
3190,5,4,3,1975,29.54028645203317,6,1547565
963,2,1,1,1996,19.584776301912925,5,662355
4591,2,2,1,1962,18.457037138478498,9,1637889
2157,4,4,3,1960,13.54580618172764,4,906036
2078,2,1,1,1951,8.872138198865162,7,940512
3642,3,4,2,1979,13.209581098938099,2,1177600
1459,4,4,2,1973,4.894229883797654,1,854857
2122,4,2,2,1972,8.226249578019486,1,712648
3714,5,3,2,2019,14.877869898234902,5,1611369
3557,3,4,3,1956,4.771469010733243,7,1587425
3025,2,4,3,1996,23.850188673291978,5,1139344
3129,5,4,2,1959,0.8410589430115597,4,1340339
1997,3,2,2,2022,9.987006028275596,9,1629272
3460,5,4,3,1979,15.741218082505954,2,1302412
3093,1,1,1,1997,27.903960212327835,2,633855
4027,2,2,2,1974,17.416840176486122,10,1543618
1763,5,1,1,1973,9.199667292439237,1,547944
2381,1,2,3,1961,10.889625276710523,5,1034890
2063,2,4,2,2020,10.505189030689149,5,1245756
1929,5,4,2,1983,5.8208966974983625,1,972777
2438,5,1,1,1952,4.773035967993646,6,1196475
3702,5,1,1,1955,14.678745099586655,5,1100190
2637,5,2,1,2008,8.472700713533367,7,1493150
1706,4,2,1,1976,3.209364612047162,1,690698
4429,5,3,2,2021,6.8861203762447705,3,1365926
3075,4,3,3,1985,15.861419171100543,10,1699712
1682,4,3,1,2010,8.078350236351357,9,1525121
1109,1,4,1,2020,7.513394381413879,6,1128101
4813,2,1,3,2014,18.809366624899035,2,859815
4148,4,1,2,1954,20.83778277627329,9,1603308
1063,3,3,3,1991,7.616753717318956,3,846365
2398,4,3,3,1963,14.428167971178116,3,1075726
3845,3,2,1,2014,23.054719214111916,2,1202873
4143,1,3,3,1961,20.85217562881883,5,1359395
1895,3,1,3,1951,2.5440763855438924,3,846063
3704,1,2,2,1963,11.122088716036028,6,1470992
4163,1,3,1,2016,21.836632910474226,5,1246340
2253,1,4,1,2016,5.793405967472963,9,1635587
1691,3,3,1,1963,6.2798518855750745,10,1648459
3981,3,4,2,1983,19.090065379581507,10,1948283
3857,1,3,2,1994,8.870653130612071,3,1408637
2036,1,2,2,1958,10.05063760293836,3,833425
4096,2,4,2,1959,15.923060767563918,4,1305941
3399,1,4,1,1957,22.642128201525995,5,956521
3552,5,2,1,1978,15.19952147540263,10,1753789
1098,2,4,3,2010,26.856092984701778,8,1094101
2560,2,2,2,2003,3.6459041524223896,2,1022882
4497,2,3,3,1988,22.747402229247392,10,1656078
1254,5,2,2,1982,16.537326707195604,1,568903
3874,2,2,3,1972,24.592252150862393,7,1080194
2107,2,2,1,2021,9.833896198797376,8,1140419
3177,3,2,1,1989,14.72199268516738,5,1366618
2133,3,1,2,1972,24.79613273362537,8,1153520
3910,1,4,1,2008,25.0375508090779,8,1451854
602,1,3,2,1999,11.591718868477676,4,669027
3655,4,2,3,2013,24.754781859189563,10,1556097
4618,5,1,2,2005,20.63075368131803,3,1233616
4896,3,1,3,1992,12.578170940959504,9,1851551
1166,1,3,3,2007,29.106311981565693,4,591876
4789,5,4,2,1961,1.411382472346931,6,1986022
2727,2,3,1,1985,11.788555218849533,2,1015912
3331,5,2,3,2022,9.555103036510017,7,1488990
597,3,4,1,1955,28.10493321804338,7,742327
2330,4,4,3,1981,3.43387046507592,6,1353631
3982,3,3,3,2014,19.026721274471278,1,1251868
1008,1,3,3,2009,21.640526747907685,2,390492
3672,1,4,3,2003,5.933186808832273,3,1379098
1547,5,3,2,1973,4.92345166634532,3,989590
4682,3,4,3,1978,1.9110243294928702,6,1574493
3797,1,3,1,1957,5.186818414094737,8,1738102
2911,2,4,1,1962,24.342343569730357,3,937907
2194,2,2,2,2012,28.346706910398083,4,559306
1059,4,1,3,1974,27.091956112469482,9,872522
3211,5,3,2,1978,11.27649147514147,8,1803683
1769,1,4,1,2008,21.91332753078389,8,1176227
2386,4,1,3,2010,24.897788289608407,1,578817
546,2,1,1,1975,24.46832191171263,9,682836
3619,4,1,2,2017,2.3492059059713144,7,1645300
3311,4,3,2,1971,6.83749601817515,10,1992047
2134,1,3,1,1956,28.198875455658133,4,428086
2243,1,2,3,2006,22.327231901061793,6,1018807
888,1,3,3,2011,25.113395941279798,1,284182
3376,5,3,1,1967,15.666635768905518,8,1724468
2359,4,3,1,1959,12.095153429883524,9,1516162
2785,4,1,3,1980,19.711097762932553,9,1298578
3319,5,2,1,1975,14.449273351970776,9,1742047
2202,2,1,2,2004,11.52598232278525,1,701777
4461,3,2,3,1974,10.762329116968015,10,1873957
3769,2,3,3,2001,5.158256331352517,10,2150636
662,5,4,2,1967,16.11768908457964,10,1493582
1023,4,3,1,1973,15.83547383637656,9,1189042
1416,4,1,3,1964,17.927701717417627,10,1244611
4043,1,1,3,1957,3.92859782996114,6,1463522
2449,1,1,3,1992,27.490228425529093,6,786148
4123,4,2,1,1973,22.39065563313321,1,597711
4948,4,1,3,2014,4.3634409533231855,2,1759964
3508,1,4,1,1975,2.8406463417418184,10,1617785
4490,1,4,2,2023,19.466159839124156,8,1978701
2456,2,3,1,1975,10.57433022556321,2,793617
3570,4,2,1,2015,9.911932332599939,10,1598799
2082,4,2,2,1989,25.279736303343437,9,1232295
2655,5,3,1,1963,10.6817243847983,4,1094053
1554,2,1,2,1982,19.149369649792174,4,680022
4899,3,1,3,2006,16.34369808988422,5,1151639
3591,3,3,2,1988,8.257537786408275,7,1507991
2096,3,3,2,1950,10.28338210137894,1,627493
4391,1,3,3,1986,28.324190252188906,9,1389031
2048,3,3,3,1967,10.27549975939798,6,1013090
1845,5,2,1,1979,23.628101213878757,5,876980
4599,1,2,1,1976,25.907626957974866,5,914835
4323,1,1,1,2009,2.5956208754108747,1,1206937
653,3,2,3,1998,20.06161225630377,1,218401
3583,1,2,3,1979,22.603186540488448,7,1154882
2957,2,2,3,1994,13.30363968351485,2,958372
498,2,3,1,1970,17.295089752695013,4,567596
2600,3,2,3,2003,5.27327273534437,8,1447826
3361,5,1,3,1965,9.895669191850553,6,1526550
4833,1,2,2,1967,21.376175436184017,4,1288340
4177,4,3,2,1983,18.275851381396492,7,1733808
3269,3,2,3,1970,4.523379436960361,7,1485961
3634,1,4,1,1980,29.64743659379947,1,756396
4191,3,1,2,1959,28.164779140280654,1,849874
1356,3,2,3,1953,7.1114598855124544,5,1018095
4467,5,1,2,1964,26.316056617031087,7,1315762
560,4,3,2,2002,8.381494430741894,6,1066383
4893,1,1,1,2008,17.130304346068748,1,987159
1700,3,4,3,2004,23.570504600605474,7,1110033
4387,3,4,3,2011,10.65036593007032,1,1380317
1927,1,1,1,1991,16.876848107017526,2,411535
1618,3,3,1,1977,13.785431440058678,10,1413744
4896,3,1,1,1956,22.925859188562438,7,1351920
3504,3,2,3,1960,14.62093330867932,1,668149
3135,2,2,2,1978,17.22388033653313,5,1318179
4955,2,1,3,1983,25.44395208912046,3,809779
1354,4,2,3,1974,21.11004336026468,4,577610
4965,5,2,1,2005,16.061346624161384,8,1688897
3846,1,3,1,1989,14.10810207976985,9,1411070
1445,5,1,1,2012,4.239586734052164,6,1256607
2093,5,2,3,1999,2.162811249545205,2,905158
3836,2,1,1,1960,28.60687508362645,2,692323
962,4,1,1,2009,6.002533595122871,9,1241219
2885,5,2,2,2013,8.667715370577925,9,1917306
3754,5,3,2,1953,18.522981834029167,10,1537926
625,3,3,1,1980,24.923808687411682,7,677277
1359,1,4,2,2023,25.07768804160171,4,738815
4948,4,1,3,2003,24.974598819327223,4,1047298
3467,1,4,2,2005,29.353596224128705,2,674951
1215,2,3,1,1993,2.143239879016554,10,1507658
3520,5,2,3,1954,12.295521847961949,6,1363458
416,5,2,3,2016,27.450838504122256,7,901146
1643,1,3,2,2017,14.286465619208569,7,1156084
2605,2,3,1,1958,26.203250390986465,6,874777
2924,3,1,1,1953,1.0208652947766854,6,1290419
1469,3,4,2,2023,15.378850650737025,5,1022002
3844,5,4,2,1965,27.71234036956878,8,1793563
2965,5,3,2,2019,8.207845130369735,5,1557547
1460,4,1,1,1964,27.924920140326225,9,1023046
2727,1,2,2,2001,0.7500799726699406,7,1447500
3820,5,3,2,1980,2.828362366727916,2,1189847
701,2,4,2,1993,14.566326364224437,3,671622
4676,1,1,1,1985,3.638198449167727,8,1761974
1006,4,1,3,1951,7.155120808701051,9,1067141
3570,3,1,1,1977,9.276988130666409,8,1530105
1099,4,4,1,1989,14.7041322762144,2,726995
1539,1,1,3,2012,12.020152242018684,10,1308577
590,3,2,1,2012,27.703355340163075,5,584102
2700,2,4,3,1966,26.63743251386069,9,1532741
1380,3,3,3,1987,22.56809128784565,8,986009
3375,3,1,3,1985,19.949595175650725,4,703281
1584,2,4,3,1981,6.528061276785101,7,1327119
3727,5,3,1,2003,18.25387462219869,3,1345384
3794,5,3,3,2008,4.838351642478695,3,1648929
527,3,2,2,1974,13.855213971880394,3,426662
2465,3,3,3,1963,14.114950677308881,6,1186811
2216,4,2,3,1993,20.84644371887787,9,1170677
969,5,4,1,1974,25.136238391650334,3,846154
2295,2,2,2,1984,9.954816947215136,3,744503
3133,3,4,3,1996,1.7148476466831775,8,1741253
4263,3,4,2,1996,1.8856259637017598,8,1823800
4414,4,1,3,1966,26.307316504473615,10,1628954
3301,4,2,1,1972,14.846612878318275,7,1146164
2086,4,4,2,1966,7.816371201128467,4,1238411
3409,1,1,2,1978,1.4524584582794073,1,985969
554,2,2,1,1951,16.098547972347234,5,559230
2937,1,2,1,1960,4.544296005678566,9,1598932
1809,3,3,1,1965,12.802327982401957,7,1097702
4457,4,1,1,2000,15.724292592974075,3,1217603
1184,4,3,2,1970,7.261409610998439,8,1183335
3575,4,4,1,1970,6.365685782076985,5,1351135
4741,5,2,2,1955,1.084338085439352,10,1868251
3206,2,4,3,1995,17.772863160583913,2,793251
937,1,1,3,1972,6.413015726164671,2,307856
2241,2,2,1,2007,26.40773915192154,6,868860
2855,4,4,1,2006,18.311408218387495,3,1108418
924,3,2,2,2010,16.914222727537997,6,855375
3350,5,3,2,1988,15.38819760594001,3,1276611
4531,2,1,3,1994,6.851647312531641,4,1280010
4515,3,1,2,1978,29.097608106171233,10,1581791
2768,4,1,1,1980,29.02781656949526,6,797354
4247,4,2,3,1951,9.977536525105007,7,1532689
4895,4,4,3,1986,23.398378608677753,1,1198046
3101,4,4,1,1993,4.017758938471383,9,1919480
1371,5,1,2,2019,23.525600946139473,7,934629
1566,5,2,1,2012,8.946792022652911,9,1584984
3174,2,2,2,2002,9.029467041034096,1,955373
2382,4,2,3,1952,15.463382628704169,6,990661
1253,5,4,1,1968,12.073704369228023,3,729507
4546,3,1,3,1994,3.9760187177268196,4,1492110
4136,5,4,3,2010,17.995775716433656,3,1253372
4169,5,3,1,2004,6.808386476776997,5,1797287
974,2,2,3,2020,13.612153548493268,2,530413
3661,5,3,2,1978,7.314815350010008,2,1301991
1548,3,1,1,1997,25.79876462798338,7,923642
2115,4,1,2,2021,10.471639479526013,4,875456
4254,1,4,2,2012,26.68097934239595,4,1456253
2891,2,1,2,1970,10.119868684999485,8,1091442
3060,3,1,1,2006,5.795163625572664,7,1635872
3524,2,4,2,1962,17.510721959133658,2,1107997
3451,4,4,1,1976,16.876564399544527,5,1395700
404,5,4,2,2017,18.757949934832233,3,754852
1276,5,4,1,2013,9.413118158002302,2,818931
1391,3,1,2,1958,9.939083017969459,5,641539
4542,4,3,3,2023,7.504187464063796,3,1705977
4764,1,4,2,1956,27.887828621637393,3,1146244
4865,1,1,3,1960,20.647194081134412,8,1451885
1035,5,1,3,1977,22.80954458942929,3,570584
2093,4,1,2,2021,6.227812633173029,7,1417696
2082,4,1,2,1976,20.016559580561584,8,1094953
519,3,1,3,1971,22.998597359238396,5,546405
1230,1,4,1,1991,10.60245515874897,5,850144
4075,3,4,2,1981,5.151931906868,3,1299266
1769,2,2,3,1963,21.061625360580287,7,732340
1140,4,2,1,1975,18.528735964987362,6,876596
516,1,4,2,2004,17.48073832019481,7,948736
3238,3,4,1,2020,5.88571605421407,10,2090240
1550,5,4,3,2004,8.243516667919446,4,1210961
2331,2,3,2,1994,18.934093611094,3,769624
1412,3,4,1,1979,18.600793610507946,7,1084841
2064,5,1,2,2015,16.86432358771244,3,935441
1481,1,3,1,1975,23.16011129662377,3,618512
912,1,3,1,1950,24.532387338132065,4,496063
3249,2,1,2,1973,8.657166993609872,10,1684657
959,5,1,2,2004,5.1494231465897,1,527025
4072,4,2,2,2014,6.4344496310004935,2,1235672
4983,1,1,3,1974,8.798609479985897,3,1030279
3743,4,4,2,1991,28.45858289197048,6,1696469
4470,4,4,1,1993,4.546282394609617,4,1812970
1870,3,2,2,2018,26.423463988197717,9,1247778
980,3,3,3,1961,6.499635046522837,7,1058373
2694,1,3,3,1957,10.779148534955967,5,1078436
3547,4,2,2,2012,4.2132435701911835,10,2031895
4649,3,4,1,1969,3.549130353784937,9,1900109
2079,5,2,3,1989,3.3067197721247346,7,1393442
3906,5,4,1,2022,10.61138774664093,6,1853333
3144,5,4,3,1954,15.948916625329721,4,1178716
3756,5,1,3,1950,6.42382243036462,5,1582787
4445,4,2,1,1960,28.01388982766577,6,1267452
1643,5,2,1,1953,17.799354014943283,1,694338
3518,4,4,3,1987,26.609410271037046,2,953138
2541,1,4,1,1966,4.890154117602743,2,882977
3459,1,1,2,2017,4.733087398148113,7,1747845
4948,5,4,2,1981,25.479204711442602,3,1010034
3359,5,4,3,1954,17.255449959776467,4,1273923
2665,5,3,2,1971,28.188310460497096,9,1183825
2879,1,2,3,2016,4.833457144258715,5,1230239
2035,3,1,1,1960,1.26753039881546,3,803205
2157,1,1,1,1974,27.538536198022797,7,864531
4852,5,4,2,1991,21.11569460481264,5,1601381
2470,3,2,1,1984,24.311457426324186,7,1044436
3249,3,3,2,2008,9.232413401174929,9,1669405
3651,2,1,3,1997,0.5904593747518313,10,1960041
4130,4,4,2,1952,14.744955561697349,1,1106975
2889,5,2,2,1973,29.705277765648365,6,931793
2031,4,3,1,2018,27.272353803501666,9,1467002
3216,2,2,1,1982,2.6246721588007365,1,937539
1415,4,1,1,2019,6.039617969219091,6,1189197
1748,5,4,2,1996,9.681222965004945,3,1072425
3487,2,4,1,2002,24.996813430653322,10,1828786
3239,4,1,3,1994,24.8290757365072,8,1231120
735,1,1,2,2020,5.957632833598714,10,1196167
4992,3,2,2,2006,16.225862275769842,7,1425513
1295,2,1,2,2019,15.302948543385677,4,716388
3946,1,2,3,1989,12.721274626039417,4,930020
1251,5,4,3,1952,16.309653449108172,8,1241692
2087,3,3,1,1998,9.137271488760872,6,1302488
2331,2,4,1,1963,16.18070059342603,7,1276674
4146,3,4,2,1969,20.72544140073089,5,1208956
2827,2,3,1,2015,2.3438466813630408,4,1191926
1968,2,3,3,1974,29.035524046333173,1,498138
4400,4,3,1,1953,5.376456169520371,7,1834640
3138,3,4,1,1990,11.128810564981466,4,1142860
3898,3,1,2,2012,14.383507194111555,5,1406519
4313,1,4,3,1997,1.7090409955943797,5,1930718
1466,5,1,3,2004,16.676674149685834,2,587242
4780,1,2,3,1951,26.164226125485637,2,960795
2844,4,4,1,1972,27.080035806949574,9,1249096
4507,2,3,3,1997,10.122653013883534,6,1622502
3773,4,4,1,1964,16.984499955941832,8,1604349
4369,4,4,2,2000,23.415524232486604,6,1341298
2946,1,3,3,1973,7.958948500642323,3,965258
1153,2,2,2,1969,16.089938989198608,3,457754
2482,5,2,1,2005,11.318287190113015,5,1418798
3174,4,2,3,1987,11.65616131058927,3,1142937
3296,5,2,1,1974,3.277057214053339,2,1032856
4585,2,4,3,2001,12.503244235554208,4,1641401
1175,2,4,1,2000,5.2459380756917975,4,905077
2025,1,3,1,1996,9.38746713750768,9,1420001
3469,3,1,1,2017,10.243292535548388,7,1323739
817,1,3,2,2013,13.202698391938618,8,1054916
514,5,2,3,1992,27.548955299306442,1,182053
1016,1,1,1,2020,19.114414026708097,7,802925
4374,2,3,3,2006,29.24663013539895,10,1423229
3667,4,2,1,1988,17.924219729634675,9,1666117
1225,3,1,3,1978,24.261956271463642,9,928094
1916,2,1,1,1975,25.107468255622603,5,557612
3546,4,2,1,1963,22.30061223452377,1,661121
812,5,1,2,2013,20.262491687915198,6,1002990
1128,5,3,3,1996,12.828492259175789,3,782352
3748,5,3,2,1969,17.23464628354809,7,1519771
3208,1,3,1,1956,6.214641872170515,8,1383831
1075,5,1,2,2023,18.73827606831152,6,839512
3865,5,1,2,2016,15.671747401900866,2,993820
2904,1,2,2,2002,24.22759504146719,10,1379434
3367,4,2,2,2014,27.12503692134029,10,1750564
3186,2,1,3,1979,4.417439277890992,9,1546599
1522,3,3,2,2015,20.88178014765418,7,1185652
4479,5,1,1,1964,28.526366087884384,9,1310538
1971,5,4,1,2019,27.577484703805926,2,708216
2543,5,3,2,2019,25.1155743839575,6,1069375
2087,1,4,2,2006,1.9260595127904865,9,1520826
4532,1,2,2,1974,7.948281440876235,8,1617570
4251,1,1,1,1972,4.874509709257965,10,1849175
3840,3,4,2,1961,27.84456659468878,5,1404870
4166,2,1,3,1997,22.592249558598052,10,1717837
2726,5,4,2,1959,16.18764677174307,2,1106010
3314,4,1,3,1966,29.392306944919998,7,1328572
4352,5,3,2,2001,6.244203577560599,8,1952218
995,5,2,1,1951,19.42637157506775,8,1068287
1128,5,3,1,2009,18.476740334072314,2,648610
1765,5,2,2,2006,10.543400225135885,4,1065186
4892,2,3,3,2022,14.818718616488852,8,1563556
1098,4,2,1,1996,7.44389197546918,4,907697
795,1,3,1,2020,20.474885294565407,10,1104762
4571,4,1,1,1962,12.838100955038987,7,1744906
4760,5,3,2,2023,1.1947278608820167,4,1730045
2902,4,4,2,1971,28.548164080681325,9,1426431
2219,5,4,2,1977,15.291865139537007,9,1606415
1117,4,1,3,2004,21.316199451187707,4,690214
3182,3,1,2,1999,6.309434710251942,3,1040230
3977,4,1,3,1968,4.253276678523065,4,1168525
543,1,4,2,1950,27.121446924573647,9,773656
3540,1,3,3,2017,17.932509437907417,7,1577037
4891,4,1,3,2005,15.05385072054843,4,1472997
3338,4,3,2,1963,15.873926051796255,9,1571899
4036,2,2,3,2013,7.467976617550023,9,1667620
3622,4,3,1,2018,27.4242478711254,1,882226
1567,1,3,1,1971,6.820085445809578,9,1435282
3016,3,4,2,1993,5.161185196102951,8,1696843
1462,1,3,1,1998,27.936353691738454,3,486849
2556,2,4,2,1985,8.098428760940541,8,1501254
3382,4,2,3,2018,25.94329920724819,4,898766
3694,3,4,1,1983,23.289127821138983,2,1126226
1556,1,2,3,1986,11.767336717974716,6,891470
1132,3,2,2,2000,7.993059185528416,2,570131
4730,5,1,2,1986,22.890162949402878,7,1766313
1353,1,3,3,1974,18.12916138302659,1,470216
2939,5,3,2,1954,7.994190318304186,4,1211191
3724,3,1,1,1957,26.780944249570343,8,1386749
3701,4,1,2,2002,21.768981323712996,7,1342604
1942,4,3,1,1976,27.323704855346076,7,950510
1591,4,1,2,2010,13.405376415447819,7,1055316
3393,5,1,1,2014,4.281885669275869,10,1786598
3081,4,2,2,2020,27.760223166905536,7,1095095
1617,2,1,2,1994,18.24206790163082,7,918400
1940,1,1,3,1952,18.378755263887708,7,916141
3636,1,4,3,2010,17.735830518046612,5,1538148
2786,3,3,1,1999,14.435594164626403,7,1481374
4119,5,4,3,1997,8.023770854404605,5,1725043
1788,1,1,3,2022,18.58414540161715,7,910501
2256,5,1,1,1996,21.69878095705003,4,740220
1765,3,4,3,1963,27.538023958182645,8,1182147
899,4,1,1,1968,2.6283573879130437,7,1099694
2080,3,2,1,2011,8.013931210298457,6,1084468
910,2,4,1,1955,23.41223070928725,6,664710
4712,4,4,1,1956,23.36694545777602,5,1588016
1724,4,3,2,1962,6.755017930709718,2,899798
1555,4,4,2,1995,5.94917152685364,6,1146052
2227,3,2,1,1982,11.330636173153785,8,1429605
3541,2,1,3,1990,2.356003270002288,2,997479
3886,5,4,1,2022,22.045643173323622,6,1621196
2210,3,4,1,2018,20.259357390594147,2,740760
3323,1,3,3,1978,25.8324020828294,8,1301751
2614,1,3,1,1956,13.186449839615106,4,740812
4586,3,1,2,2003,19.28371226667209,10,1734408
1113,5,4,1,1960,28.64150991898186,8,1035058
4002,1,2,2,1991,28.78466828144757,6,1373398
4534,5,1,3,1954,2.5967896175357534,8,1690818
3922,4,2,3,1996,0.5555881760495016,10,1914193
4668,3,4,3,1951,28.81953965338552,10,1821948
1643,4,1,2,1992,16.291839757430147,9,1227715
4109,1,3,1,1953,21.161815957393994,7,1448367
1481,5,3,3,2012,27.421616162140207,1,485832
855,4,2,3,2008,13.278060673549604,1,561515
1294,1,1,3,1979,13.499271817469138,1,314961
1784,2,2,1,1951,5.42595634221482,2,681808
2358,4,3,1,2023,27.221934277260917,3,872209
3472,2,4,2,1992,19.606362527942846,6,1450046
2396,2,3,2,1967,5.817942795100755,9,1412461
4685,1,4,1,1973,17.01386442975263,8,1595600
904,3,2,1,1986,10.180836182488811,3,660750
1614,5,2,3,1979,4.841868109292523,2,874102
1931,1,2,3,2018,5.865148698146565,7,1100568
3840,4,4,2,2008,16.99808615540097,9,2033971
1223,5,2,3,1972,17.149364165016372,8,1139949
1328,3,2,1,1979,23.80325304104361,5,606207
533,1,1,1,2017,7.815536383998195,2,468708
2505,3,4,2,1990,27.517084776120644,5,818656
4027,4,2,1,2000,15.799081480636945,6,1272294
2252,1,2,2,2016,6.5230943208179415,7,1301962
4575,4,4,3,1964,12.691776980300032,9,1969686
3333,5,4,2,2005,27.739098525201452,6,1302455
3684,5,3,1,2014,14.605618014572547,5,1431053
4698,3,3,3,2023,26.304095759131833,7,1871630
3211,3,1,1,2004,5.21506568741585,3,960675
1650,5,2,1,2014,27.461772758974234,9,1264314
3912,2,4,3,1951,13.203254762233366,5,1589351
1656,5,2,1,1960,28.11574483415755,9,1017061
3776,1,3,1,1991,26.049316324138776,3,738318
3886,4,3,3,1952,19.969006053046265,8,1529414
3984,5,3,1,1990,20.348969300114078,7,1826568
1796,5,4,2,1998,6.739485642368532,4,1184009
4037,4,2,1,1986,18.2834784782262,10,1593185
3730,4,4,1,1956,16.710119370805273,6,1329231
3103,1,2,3,1987,10.357337572043322,4,941123
870,4,1,2,2007,15.41583496532945,3,641893
